iter	Passed	Remaining
462	743	862
463	744	859
464	745	857
465	745	854
466	746	851
467	747	849
468	748	846
469	748	844
470	749	841
471	750	839
472	751	836
473	751	834
474	752	831
475	753	829
476	753	826
477	754	823
478	755	821
479	755	818
480	756	816
481	757	813
482	757	811
483	758	808
484	759	806
485	759	803
486	760	801
487	761	798
488	761	796
489	762	793
490	763	791
491	764	789
492	765	786
493	765	784
494	766	781
495	766	779
496	767	776
497	768	774
498	768	772
499	769	769
500	770	767
501	770	764
502	771	762
503	772	759
504	772	757
505	773	755
506	774	752
507	774	750
508	775	748
509	776	745
510	777	743
511	778	741
512	778	739
513	779	737
514	780	734
515	780	732
516	781	730
517	782	727
518	782	725
519	783	723
520	784	720
521	784	718
522	785	716
523	786	714
524	786	711
525	787	709
526	788	707
527	788	705
528	789	702
529	790	700
530	790	698
531	791	696
532	792	694
533	793	692
534	794	690
535	794	688
536	795	685
537	796	683
538	796	681
539	797	679
540	798	677
541	798	675
542	799	672
543	800	670
544	800	668
545	801	666
546	802	664
547	803	662
548	803	660
549	804	658
550	805	656
551	805	653
552	807	652
553	808	650
554	808	648
555	809	646
556	810	644
557	810	642
558	811	640
559	812	638
560	812	635
561	813	633
562	814	631
563	814	629
564	815	627
565	816	625
566	816	623
567	817	621
568	817	619
569	818	617
570	819	615
571	819	613
572	820	611
573	821	609
574	822	607
575	823	605
576	823	603
577	824	601
578	825	600
579	825	598
580	826	596
581	827	594
582	827	592
583	828	590
584	829	588
585	829	586
586	830	584
587	831	582
588	831	580
589	832	578
590	833	576
591	833	574
592	834	572
593	835	570
594	835	568
595	836	567
596	837	565
597	838	563
598	839	561
599	839	559
600	840	558
601	841	556
602	841	554
603	842	552
604	843	550
605	843	548
606	844	546
607	845	544
608	845	543
609	846	541
610	847	539
611	847	537
612	848	535
613	849	533
614	849	531
615	850	530
616	851	528
617	852	526
618	853	525
619	853	523
620	854	521
621	855	519
622	855	517
623	856	516
624	857	514
625	857	512
626	858	510
627	859	508
628	859	507
629	860	505
630	861	503
631	861	501
632	862	500
633	863	498
634	863	496
635	864	494
636	865	493
637	865	491
638	866	489
639	867	487
640	868	486
641	868	484
642	869	482
643	870	481
644	870	479
645	871	477
646	872	475
647	872	474
648	873	472
649	874	470
650	874	468
651	875	467
652	876	465
653	876	463
654	877	462
655	878	460
656	878	458
657	879	457
658	880	455
659	880	453
660	881	452
661	882	450
662	883	449
663	884	447
664	884	445
665	885	444
666	886	442
667	886	440
668	887	439
669	888	437
670	888	435
671	889	434
672	890	432
673	890	430
674	891	429
675	892	427
676	892	425
677	893	424
678	894	422
679	894	421
680	895	419
681	896	417
682	897	416
683	897	414
684	898	413
685	899	411
686	899	409
687	900	408
688	901	406
689	901	405
690	902	403
691	903	401
692	903	400
693	904	398
694	905	397
695	905	395
696	906	394
697	907	392
698	907	390
699	908	389
700	909	387
701	909	386
702	910	384
703	911	383
704	912	381
705	912	380
706	913	378
707	914	377
708	914	375
709	915	373
710	916	372
711	916	370
712	917	369
713	918	367
714	918	366
715	919	364
716	920	363
717	920	361
718	921	360
719	922	358
720	922	357
721	923	355
722	924	354
723	924	352
724	925	351
725	926	349
726	927	348
727	927	346
728	928	345
729	929	343
730	929	342
731	930	340
732	931	339
733	931	337
734	932	336
735	933	334
736	933	333
737	934	331
738	935	330
739	935	328
740	936	327
741	937	325
742	937	324
743	938	322
744	939	321
745	939	319
746	940	318
747	941	317
748	942	315
749	943	314
750	943	312
751	944	311
752	945	310
753	946	308
754	946	307
755	947	305
756	948	304
757	948	302
758	949	301
759	950	300
760	950	298
761	951	297
762	952	295
763	952	294
764	953	292
765	954	291
766	954	290
767	955	288
768	956	287
769	957	285
770	957	284
771	958	283
772	959	281
773	959	280
774	960	278
775	961	277
776	961	276
777	962	274
778	963	273
779	963	271
780	964	270
781	965	269
782	965	267
783	966	266
784	967	264
785	967	263
786	968	262
787	969	260
788	969	259
789	971	258
790	972	256
791	973	255
792	973	254
793	974	252
794	975	251
795	976	250
796	976	248
797	977	247
798	978	246
799	979	244
800	980	243
801	981	242
802	981	240
803	982	239
804	983	238
805	984	236
806	984	235
807	985	234
808	986	232
809	987	231
810	988	230
811	989	229
812	990	227
813	991	226
814	992	225
815	993	223
816	994	222
817	994	221
818	995	220
819	996	218
820	997	217
821	998	216
822	998	214
823	999	213
824	1001	212
825	1002	211
826	1002	209
827	1003	208
828	1004	207
829	1005	205
830	1005	204
831	1006	203
832	1007	201
833	1008	200
834	1008	199
835	1009	198
836	1010	196
837	1011	195
838	1012	194
839	1012	192
840	1013	191
841	1014	190
842	1015	189
843	1016	187
844	1017	186
845	1017	185
846	1018	184
847	1019	182
848	1020	181
849	1021	180
850	1021	178
851	1022	177
852	1023	176
853	1024	175
854	1024	173
855	1025	172
856	1026	171
857	1027	169
858	1028	168
859	1029	167
860	1029	166
861	1031	165
862	1031	163
863	1032	162
864	1033	161
865	1034	160
866	1035	158
867	1035	157
868	1036	156
869	1037	155
870	1038	153
871	1039	152
872	1040	151
873	1041	150
874	1041	148
875	1042	147
876	1043	146
877	1043	145
878	1044	143
879	1045	142
880	1046	141
881	1046	140
882	1047	138
883	1048	137
884	1048	136
885	1049	135
886	1050	133
887	1050	132
888	1051	131
889	1052	130
890	1052	128
891	1053	127
892	1054	126
893	1054	125
894	1055	123
895	1056	122
896	1056	121
897	1057	120
898	1058	118
899	1058	117
900	1059	116
901	1060	115
902	1061	113
903	1061	112
904	1062	111
905	1063	110
906	1063	109
907	1064	107
908	1065	106
909	1065	105
910	1066	104
911	1067	102
912	1067	101
913	1068	100
914	1069	99
915	1069	98
916	1070	96
917	1071	95
918	1071	94
919	1072	93
920	1073	92
921	1073	90
922	1074	89
923	1075	88
924	1076	87
925	1077	86
926	1077	84
927	1078	83
928	1079	82
929	1079	81
930	1080	80
931	1081	78
932	1081	77
933	1082	76
934	1083	75
935	1083	74
936	1084	72
937	1085	71
938	1085	70
939	1086	69
940	1087	68
941	1087	66
942	1088	65
943	1089	64
944	1090	63
945	1090	62
946	1091	61
947	1092	59
948	1092	58
949	1093	57
950	1094	56
951	1094	55
952	1095	54
953	1096	52
954	1096	51
955	1097	50
956	1098	49
957	1098	48
958	1099	47
959	1100	45
960	1100	44
961	1101	43
962	1102	42
963	1102	41
964	1103	40
965	1104	38
966	1105	37
967	1105	36
968	1106	35
969	1107	34
970	1107	33
971	1108	31
972	1109	30
973	1110	29
974	1110	28
975	1111	27
976	1112	26
977	1112	25
978	1113	23
979	1114	22
980	1114	21
981	1115	20
982	1116	19
983	1116	18
984	1117	17
985	1118	15
986	1119	14
987	1120	13
988	1121	12
989	1122	11
990	1123	10
991	1124	9
992	1125	7
993	1126	6
994	1127	5
995	1127	4
996	1128	3
997	1129	2
998	1130	1
999	1131	0
